,Features,Feature_Importances
0,Customer_Age,0.03328053801440809
1,Dependent_count,0.013794259908406416
2,Months_on_book,0.02643047661540241
3,Total_Relationship_Count,0.06285561275238688
4,Months_Inactive_12_mon,0.024611158309510776
5,Contacts_Count_12_mon,0.029390690950337733
6,Credit_Limit,0.03385767965109596
7,Total_Revolving_Bal,0.10715370337749686
8,Avg_Open_To_Buy,0.033767710853795554
9,Total_Amt_Chng_Q4_Q1,0.0610133805482801
10,Total_Trans_Amt,0.17232912223973862
11,Total_Trans_Ct,0.1626674073279218
12,Total_Ct_Chng_Q4_Q1,0.10270627328813772
13,Avg_Utilization_Ratio,0.061806288084801604
14,Gender_F,0.006877251102300709
15,Gender_M,0.007665119790846268
16,Education_Level_College,0.002702178702335537
17,Education_Level_Doctorate,0.0020558168365013827
18,Education_Level_Graduate,0.004240567056687215
19,Education_Level_High School,0.0036915435910158763
20,Education_Level_Post-Graduate,0.0020453877653796595
21,Education_Level_Uneducated,0.003729476802510847
22,Education_Level_Unknown,0.003077114672245848
23,Marital_Status_Divorced,0.0021964546980033704
24,Marital_Status_Married,0.006245112682947722
25,Marital_Status_Single,0.0056414528506306075
26,Marital_Status_Unknown,0.0024538189352555466
27,Income_Category_$120K +,0.00212213875666372
28,Income_Category_$40K - $60K,0.0032777085181809624
29,Income_Category_$60K - $80K,0.002568653653820987
30,Income_Category_$80K - $120K,0.0029594039290575746
31,Income_Category_Less than $40K,0.0039284882605450065
32,Income_Category_Unknown,0.0022268083588306543
33,Card_Category_Blue,0.0016952000121708594
34,Card_Category_Gold,0.0009230583775823349
35,Card_Category_Platinum,0.0004679565873550232
36,Card_Category_Silver,0.0015449861374117826
