,Features,Feature_Importances
0,Customer_Age,0.6098979758844628
1,Dependent_count,0.18510386991750266
2,Gender_F,0.004515680277536556
3,Gender_M,0.005083940023922466
4,Education_Level_College,0.011509621620018824
5,Education_Level_Doctorate,0.009738453533061074
6,Education_Level_Graduate,0.016132967456702833
7,Education_Level_High School,0.015680136807178183
8,Education_Level_Post-Graduate,0.011801327134543535
9,Education_Level_Uneducated,0.015011527037931049
10,Education_Level_Unknown,0.013972468283430193
11,Marital_Status_Divorced,0.009130908198509419
12,Marital_Status_Married,0.013581920882664009
13,Marital_Status_Single,0.014108922199082875
14,Marital_Status_Unknown,0.01058211671566598
15,Income_Category_$120K +,0.007249780852138953
16,Income_Category_$40K - $60K,0.012747661908499517
17,Income_Category_$60K - $80K,0.006886663460035448
18,Income_Category_$80K - $120K,0.008851094411426657
19,Income_Category_Less than $40K,0.011022613779016362
20,Income_Category_Unknown,0.0073903496166705905
