Customer_Age,Dependent_count,Gender_F,Gender_M,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown
45,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
49,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
51,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
40,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
40,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
44,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
51,4,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
32,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
37,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
48,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
42,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
65,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
56,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
35,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
57,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
44,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
48,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
41,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
61,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
45,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
47,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
62,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
41,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
47,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
54,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
41,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
59,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
63,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
44,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
47,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
53,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
53,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
41,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
53,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
58,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
55,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
55,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
42,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
57,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
66,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
45,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
51,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
50,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
49,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
38,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
49,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
56,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
59,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
46,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
52,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
52,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
54,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
66,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
49,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
56,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
49,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
49,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
56,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
44,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
42,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
55,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
48,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
39,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
44,4,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
53,2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
51,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
57,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
44,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
49,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
50,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
51,4,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
55,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
54,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
42,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
44,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
53,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
44,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
37,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
49,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
47,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
47,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
44,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
55,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
59,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
53,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
52,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
53,2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
43,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
44,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
57,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
51,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
49,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
45,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
53,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
45,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
64,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
45,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
53,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
56,3,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
47,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
49,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
41,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
53,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
44,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
44,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
43,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
44,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
62,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
54,4,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
57,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
42,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
42,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
54,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
48,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
49,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
52,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
50,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
49,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
53,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
50,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
